'demo@aol.com','Demo User','(123)456-7890',FALSE,None
'peteraknipp@gmail.com','Pete K','(914)462-7916',TRUE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30756082021.png'
'adoe@aol.com','Andy D','(834)462-3487',FALSE,None
'bdoe@aol.com','Bobby D','(834)462-3487',FALSE,None
'novak@aol.com','Novak','unlisted',FALSE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30757432021.png'
'roger@aol.com','Roger F','unlisted',FALSE,None
'rafa@aol.com','Rafa N','unlisted',FALSE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30759302021.png'
'chrissie@aol.com','Chrissie E','unlisted',FALSE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30804162021.png'
'arthur@aol.com','Arthur A','unlisted',FALSE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30805142021.png'
'naomi@aol.com','Naomi O','unlisted',FALSE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30806472021.png'
'jimmy@aol.com','Jimmy C','unlisted',FALSE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30807422021.png'
'billiejean@aol.com','Billie Jean','unlisted',FALSE,'https://tennis-photos.s3.us-east-2.amazonaws.com/uploads/SatApr30808342021.png'
